,0
0,"['길', '이는_', '15', 'c', 'm', '로_', '할', '게', '요_']"
1,"['소', '스는_', '스', '위', '트_', '칠', '리로_', '할', '게', '요_']"
2,"['마', '요', '네', '즈', '로_', '해주', '세요_']"
3,"['길', '이는_', '30', 'c', 'm', '로_', '주', '세요_']"
4,"['길', '이는_', '15', '센', '치', '로_', '주', '세요_']"
5,"['홀', '스', '래', '디', '쉬', '요_']"
6,"['크', '기는_', '6', '인', '치', '로_', '할', '게', '요_']"
7,"['후', '추', '로_', '주', '이', '소_']"
8,"['아', '메리', '칸', '_', '치', '즈', '요_']"
9,"['치', '즈', '는_', '모', '차', '렐', '라_', '치', '츠', '로_', '해주', '세요_']"
10,"['사이', '즈', '는_', '15', '센', '치', '미', '터', '로_', '할', '게', '요_']"
11,"['사이', '즈', '는_', '6', 'in', 'ch', '로_', '할', '게', '요_']"
12,"['소', '스는_', '마', '요', '네', '즈', '로_', '할', '게', '요_']"
13,"['샌', '드', '위치는_', '스', '테이', '크_', '앤', '_', '치', '즈', '로_', '해주', '세요_']"
14,"['토', '마', '토', '요_']"
15,"['길', '이는_', '풋', '롱', '으로_', '주', '이', '소_']"
16,"['길', '이는_', '15', '센', '티', '로_', '해주', '세요_']"
17,"['샌', '드', '위치는_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
18,"['사이', '즈', '는_', '풋', '롱', '으로_', '해주', '세요_']"
19,"['피', '클', '이', '요_']"
20,"['길', '이는_', '30', '센', '치', '미', '터', '로_', '해주', '세요_']"
21,"['크', '기는_', '30', '센', '치', '로_', '해주', '세요_']"
22,"['허', '니_', '머', '스타', '드', '요_']"
23,"['15', 'c', 'm', '로_', '주', '이', '소_']"
24,"['이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '로_', '주', '이', '소_']"
25,"['샌', '드', '위치는_', '써', '브', '웨이_', '클럽', '으로_', '주', '세요_']"
26,"['소', '스는_', '랜', '치', '로_', '주', '이', '소_']"
27,"['사이', '즈', '는_', '30', '센', '티', '미', '터', '로_', '주', '세요_']"
28,"['6', '인', '치', '로_', '할', '게', '요_']"
29,"['머', '스타', '드로_', '해주', '세요_']"
30,"['홀', '스', '래', '디', '쉬', '로_', '할', '게', '요_']"
31,"['치', '즈', '는_', '아', '메리', '칸', '으로_', '주', '이', '소_']"
32,"['사이', '즈', '는_', '15', 'c', 'm', '로_', '주', '이', '소_']"
33,"['야', '채', '는', '할', '라', '피', '뇨', '_', '빼', '주', '세요_']"
34,"['샌', '드', '위치는_', '로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '으로_', '주', '이', '소_']"
35,"['이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '로_', '할', '게', '요_']"
36,"['빵', '은_', '파', '마', '산', '으로_', '할', '게', '요_']"
37,"['스', '테이', '크_', '치', '즈', '요_']"
38,"['길', '이는_', '30', '센', '티', '미', '터', '로_', '주', '세요_']"
39,"['써', '브', '웨이_', '클럽', '으로_', '해주', '세요_']"
40,"['샌', '드', '위치는_', '이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '로_', '주', '세요_']"
41,"['15', 'c', 'm', '로_', '할', '게', '요_']"
42,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '으로_', '주', '이', '소_']"
43,"['소', '스는_', '홀', '스', '래', '디', '쉬', '로_', '주', '세요_']"
44,"['하', '티', '로_', '해주', '세요_']"
45,"['에', '그', '마', '요', '요_']"
46,"['길', '이는_', '15', 'c', 'm', '로_', '주', '세요_']"
47,"['이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '로_', '할', '게', '요_']"
48,"['오', '이는_', '빼', '주', '세요_']"
49,"['스', '테이', '크_', '치', '즈', '로_', '할', '게', '요_']"
50,"['로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '으로_', '주', '세요_']"
51,"['허', '니', '오', '트', '요_']"
52,"['크', '기는_', '6', '인', '치', '로_', '주', '세요_']"
53,"['치', '즈', '는_', '슈', '레', '드로_', '주', '이', '소_']"
54,"['파', '마', '산', '으로_', '주', '이', '소_']"
55,"['사이', '즈', '는_', '15', '센', '티', '미', '터', '로_', '주', '세요_']"
56,"['크', '기는_', '30', '센', '치', '미', '터', '로_', '주', '세요_']"
57,"['머', '스타', '드로_', '주', '이', '소_']"
58,"['페', '퍼', '로', '니_', '피', '자_', '썹', '으로_', '해주', '세요_']"
59,"['15', '센', '치', '요_']"
60,"['빵', '은_', '플', '랫', '으로_', '주', '세요_']"
61,"['길', '이는_', '30', 'c', 'm', '로_', '해주', '세요_']"
62,"['30', '센', '치', '미', '터', '요_']"
63,"['샌', '드', '위치는_', 'b', 'm', 't', '로_', '주', '이', '소_']"
64,"['사우', '스', '웨', '스트_', '치', '폴', '레', '로_', '주', '이', '소_']"
65,"['야', '채', '는', '피', '망', '_', '빼', '주', '세요_']"
66,"['길', '이는_', '15', '센', '치', '로_', '주', '이', '소_']"
67,"['크', '기는_', '6', 'in', 'ch', '로_', '할', '게', '요_']"
68,"['빵', '은_', '위', '트로_', '해주', '세요_']"
69,"['사이', '즈', '는_', '15', 'c', 'm', '로_', '할', '게', '요_']"
70,"['슈', '레', '드_', '치', '츠', '로_', '주', '세요_']"
71,"['사이', '즈', '는_', '15', '센', '치', '미', '터', '로_', '주', '이', '소_']"
72,"['마', '요', '네', '즈', '로_', '주', '이', '소_']"
73,"['치', '즈', '는_', '아', '메리', '칸', '_', '치', '즈', '로_', '할', '게', '요_']"
74,"['사이', '즈', '는_', '15', '센', '치', '로_', '주', '세요_']"
75,"['사이', '즈', '는_', '30', '센', '치', '미', '터', '로_', '주', '세요_']"
76,"['사이', '즈', '는_', '30', '센', '티', '미', '터', '로_', '해주', '세요_']"
77,"['써', '브', '웨이_', '클럽', '이', '요_']"
78,"['6', 'in', 'ch', '로_', '할', '게', '요_']"
79,"['6', '인', '치', '로_', '주', '세요_']"
80,"['모', '짜', '렐', '라', '로_', '주', '이', '소_']"
81,"['길', '이는_', '30', '센', '치', '미', '터', '로_', '주', '세요_']"
