길이는 /length;15cm/로 할게요.
소스는 /sauce;스위트 칠리/로 할게요.
/sauce;마요네즈/로 해주세요.
길이는 /length;30cm/로 주세요.
길이는 /length;15센치/로 주세요.
/sauce;홀스래디쉬/요
크기는 /length;6인치/로 할게요.
/sauce;후추/로 주이소.
/cheese;아메리칸 치즈/요
치즈는 /cheese;모차렐라 치츠/로 해주세요.
사이즈는 /length;15센치미터/로 할게요.
사이즈는 /length;6inch/로 할게요.
소스는 /sauce;마요네즈/로 할게요.
샌드위치는 /sandwich;스테이크 앤 치즈/로 해주세요.
/vegetable;토마토/요
길이는 /length;풋롱/으로 주이소.
길이는 /length;15센티/로 해주세요.
샌드위치는 /sandwich;K-바비큐/로 주세요.
사이즈는 /length;풋롱/으로 해주세요.
/vegetable;피클/이요
길이는 /length;30센치미터/로 해주세요.
크기는 /length;30센치/로 해주세요.
/sauce;허니 머스타드/요
/length;15cm/로 주이소.
/sandwich;이탈리안 BLT/로 주이소.
샌드위치는 /sandwich;써브웨이 클럽/으로 주세요.
소스는 /sauce;랜치/로 주이소.
사이즈는 /length;30센티미터/로 주세요.
/length;6인치/로 할게요.
/sauce;머스타드/로 해주세요.
/sauce;홀스래디쉬/로 할게요.
치즈는 /cheese;아메리칸/으로 주이소.
사이즈는 /length;15cm/로 주이소.
야채는/vegetable;할라피뇨/ 빼주세요.
샌드위치는 /sandwich;로티세리 바비큐 치킨/으로 주이소.
/sandwich;이탈리안 BLT/로 할게요.
빵은 /bread;파마산/으로 할게요.
/sandwich;스테이크 & 치즈/요
길이는 /length;30센티미터/로 주세요.
/sandwich;써브웨이 클럽/으로 해주세요.
샌드위치는 /sandwich;이탈리안 BLT/로 주세요.
/length;15cm/로 할게요.
/sandwich;스파이시 이탈리안/으로 주이소.
소스는 /sauce;홀스래디쉬/로 주세요.
/bread;하티/로 해주세요.
/sandwich;에그마요/요
길이는 /length;15cm/로 주세요.
/sandwich;이탈리안 비엠티/로 할게요.
/vegetable;오이/는 빼주세요.
/sandwich;스테이크 & 치즈/로 할게요.
/sandwich;로티세리 바비큐 치킨/으로 주세요.
/bread;허니오트/요
크기는 /length;6인치/로 주세요.
치즈는 /cheese;슈레드/로 주이소.
/bread;파마산/으로 주이소.
사이즈는 /length;15센티미터/로 주세요.
